"","DGames","DWins","DLoss","DWLpct","DSRS","DSOS","DConfW","DConfL","DHomeW","DHomeL","DAwayW","DAwayL","DPnts","DOppPnts","DMP","DFG","DFGA","DFGpct","DThreeP","DThreePA","DThreePpct","DFT","DFTA","DFTpct","DORB","DTRB","DAST","DSTL","DBLK","DTOV","DPF","SeedDiff","ScoreDiff"
"1",-3,5,-8,0.244,19.09,8.04,8,-4,NA,NA,NA,NA,204,-59,NA,126,58,0.058,-51,-156,0.00900000000000001,3,23,-0.0179999999999999,NA,132,38,-10,74,47,-94,-13,-3
"2",1,-1,2,-0.0570000000000001,15.13,13.34,-2,4,NA,NA,NA,NA,132,69,NA,110,166,0.015,46,109,0.00700000000000001,-134,-133,-0.0499999999999999,NA,-45,46,48,5,-10,156,-9,30
"3",6,5,1,0.021,5.68,0.93,3,1,NA,NA,NA,NA,482,314,NA,106,-52,0.068,-10,-128,0.064,280,209,0.171,NA,76,158,-19,22,207,176,-3,9
"4",2,5,-3,0.111,26.35,17.68,-8,2,NA,NA,NA,NA,167,-123,NA,165,106,0.063,-53,-111,-0.028,-108,-91,-0.0659999999999999,NA,9,178,41,-18,11,3,-13,27
"5",-1,1,-2,0.053,16.65,8.62,-2,0,NA,NA,NA,NA,221,3,NA,72,-22,0.042,41,39,0.06,36,18,0.028,NA,-156,81,6,29,-22,-167,-11,35
"6",5,2,3,-0.053,9.23,12.32,0,2,NA,NA,NA,NA,769,828,NA,377,735,0.00900000000000001,21,139,-0.059,-6,72,-0.074,NA,339,99,150,120,127,54,-11,12
"7",-1,-2,1,-0.044,10.95,17.87,-1,3,NA,NA,NA,NA,-680,-393,NA,-170,-490,0.031,-111,-283,-0.003,-229,-396,0.045,NA,-246,52,-196,12,-67,-164,-9,-15
"8",0,-3,3,-0.094,3.59,6.89,0,0,NA,NA,NA,NA,-83,72,NA,-6,12,-0.00600000000000001,-42,-89,-0.018,-29,-36,-0.00600000000000001,NA,42,-52,-88,24,-24,-45,-5,3
"9",5,11,-6,0.219,22.74,17.06,7,-5,NA,NA,NA,NA,354,154,NA,89,150,0.00600000000000001,44,60,0.046,132,193,-0.00800000000000001,NA,143,72,-105,18,-44,-14,-15,43
"10",1,-3,4,-0.12,12.09,13.22,-6,6,NA,NA,NA,NA,-195,-206,NA,-129,-70,-0.05,-68,-119,-0.068,131,118,0.0619999999999999,NA,285,-26,-11,78,62,-115,-9,13
"11",-2,-2,0,-0.022,7.3,-1,-3,-1,NA,NA,NA,NA,-67,-352,NA,-39,-25,-0.014,47,126,0.004,-36,-134,0.088,NA,-271,35,62,-99,-100,-116,-1,-11
"12",2,3,-1,0.041,20.98,15.56,-3,-1,NA,NA,NA,NA,616,325,NA,274,363,0.049,72,151,0.028,-4,-32,0.022,NA,100,223,129,18,16,79,-13,22
"13",-1,-3,2,-0.077,1.72,4.52,-2,4,NA,NA,NA,NA,-243,-146,NA,-84,-156,-0.00800000000000001,42,77,0.04,-117,-219,0.036,NA,-66,-22,-166,-52,-1,-21,-5,-2
"14",4,11,-7,0.249,32.52,17.51,-1,-1,NA,NA,NA,NA,773,252,NA,273,566,0.001,208,506,0.023,19,35,-0.00600000000000001,NA,331,250,108,69,90,174,-15,44
"15",1,0,1,-0.023,15.28,14.48,1,-3,NA,NA,NA,NA,269,223,NA,142,78,0.058,77,109,0.092,-92,-102,-0.0279999999999999,NA,-93,140,9,-4,-1,22,-9,6
"16",4,2,2,-0.0409999999999999,7.98,8.48,-3,3,NA,NA,NA,NA,312,300,NA,43,118,-0.005,-42,-43,-0.055,268,362,0.0309999999999999,NA,231,67,-4,56,-265,131,-11,4
"17",4,9,-5,0.173,25.98,19.78,3,-1,NA,NA,NA,NA,462,318,NA,238,403,0.019,-44,-51,-0.055,30,99,-0.0479999999999999,NA,350,106,-6,73,111,146,-15,31
"18",1,3,-2,0.0740000000000001,-2.61,-0.97,5,-1,NA,NA,NA,NA,-128,-113,NA,-29,-98,0.00800000000000001,76,174,0.019,-146,-244,0.011,NA,-193,81,30,-6,NA,-148,-7,-14
"19",0,2,-2,0.0669999999999999,1.11,-2.2,6,-2,NA,NA,NA,NA,-55,-119,NA,-73,-72,-0.023,-51,-105,-0.037,142,224,-0.0149999999999999,NA,67,-67,52,28,48,41,-1,-18
"20",8,21,-13,0.462,31.06,10.3,10,-8,NA,NA,NA,NA,1235,507,NA,494,678,0.087,10,-22,0.039,237,276,0.0629999999999999,NA,488,352,137,79,154,11,-15,20
"21",1,0,1,-0.024,-1.06,7.61,2,2,NA,NA,NA,NA,179,311,NA,77,53,0.033,0,9,-0.01,25,103,-0.07,NA,93,12,33,-38,123,86,-7,12
"22",2,1,1,-0.01,-3.46,-3.23,-1,-3,NA,NA,NA,NA,331,326,NA,59,285,-0.043,51,194,-0.05,162,220,0.00800000000000001,NA,216,-37,72,17,15,225,-1,6
"23",6,9,-3,0.145,20.61,13.63,1,1,NA,NA,NA,NA,443,136,NA,86,138,0.011,7,-50,0.047,264,248,0.117,NA,142,52,68,40,67,61,-13,22
"24",0,1,-1,0.033,10.25,7.93,6,-2,NA,NA,NA,NA,-144,-173,NA,-13,-49,0.00600000000000001,-113,-271,-0.045,-5,10,-0.014,NA,-64,-42,72,-7,-17,99,-7,18
"25",0,1,-1,0.03,-0.450000000000001,1.12,3,-3,NA,NA,NA,NA,-167,-38,NA,-73,-64,-0.023,40,134,-0.014,-61,-140,0.034,NA,-149,-177,25,-1,-134,-109,-3,14
"26",-3,-1,-2,0.0329999999999999,2.54,1.98,3,-1,NA,NA,NA,NA,-217,-219,NA,-67,-300,0.035,-58,-91,-0.057,-25,-16,-0.019,NA,-155,21,-32,-2,11,5,-5,2
"27",3,7,-4,0.167,3.6,-6.79,6,-6,NA,NA,NA,NA,228,-105,NA,83,35,0.039,60,52,0.095,2,-115,0.13,NA,17,116,30,4,-60,-16,-1,1
"28",5,7,-2,0.1,19.47,10.68,4,-2,NA,NA,NA,NA,632,355,NA,207,307,0.032,141,247,0.101,77,95,0.011,NA,198,155,27,-10,22,-29,-11,20
"29",1,-2,3,-0.09,11.45,12.81,-3,5,NA,NA,NA,NA,105,143,NA,75,250,-0.021,-23,-24,-0.034,-22,-16,-0.016,NA,147,50,-70,41,-50,4,-5,12
"30",-3,-5,2,-0.0880000000000001,10.19,12.38,-6,4,NA,NA,NA,NA,-490,-280,NA,-161,-361,0.00800000000000001,-54,-166,0.021,-114,-126,-0.029,NA,-201,-56,-55,-30,-12,-54,-7,23
"31",0,6,-6,0.188,2.52,-6.98,7,1,NA,NA,NA,NA,321,68,NA,97,96,0.026,35,40,0.039,92,179,-0.034,NA,39,-4,71,-16,67,149,-3,3
"32",0,4,-4,0.133,5.43,-2.87,0,-4,NA,NA,NA,NA,64,-185,NA,54,-3,0.032,18,-21,0.048,-62,-125,0.033,NA,-83,-10,-4,-42,-82,-125,-3,-5
"33",5,12,-7,0.262,26.74,11.85,8,-4,NA,NA,NA,NA,765,243,NA,297,445,0.044,104,264,0.02,67,67,0.024,NA,318,114,22,53,-58,33,-13,26
"34",4,15,-11,0.379,34.02,15.44,4,-4,NA,NA,NA,NA,911,249,NA,392,706,0.028,140,331,0.026,-13,-3,-0.0129999999999999,NA,296,348,88,59,-41,158,-15,15
"35",3,4,-1,0.0669999999999999,0.300000000000001,-3.68,-1,-5,NA,NA,NA,NA,226,94,NA,45,257,-0.037,28,84,-0.004,108,145,0.014,NA,180,-41,51,-54,28,23,-1,-8
"36",4,8,-4,0.153,23.46,12.54,2,-2,NA,NA,NA,NA,608,215,NA,207,408,0.003,55,174,-0.027,139,122,0.071,NA,313,161,63,98,57,45,-13,18
"37",4,9,-5,0.191,25.07,16.32,0,2,NA,NA,NA,NA,143,-53,NA,81,-74,0.057,-30,-172,0.051,11,-34,0.0419999999999999,NA,-60,119,16,132,102,-48,-13,12
"38",7,9,-2,0.117,13.91,10.42,2,0,NA,NA,NA,NA,279,124,NA,95,387,-0.045,-4,40,-0.036,93,145,-0.012,NA,438,82,132,32,132,123,-11,2
"39",-3,-2,-1,-0.00600000000000001,1.54,-2.32,0,0,NA,NA,NA,NA,89,59,NA,67,-44,0.049,30,14,0.059,-75,-117,0.01,NA,-135,57,-92,-53,-156,-137,-1,-7
"40",-3,-4,1,-0.0580000000000001,4.4,11.82,-2,2,NA,NA,NA,NA,-240,30,NA,-92,-225,0.00900000000000001,-26,-129,0.062,-30,-135,0.078,NA,-169,34,-7,-43,-16,-89,-7,12
"41",5,4,1,0.004,18.71,10.37,-5,1,NA,NA,NA,NA,366,83,NA,200,436,-0.003,-26,-67,-0.001,-8,92,-0.082,NA,378,170,70,112,136,160,-9,29
"42",3,8,-5,0.181,21.54,12.19,0,0,NA,NA,NA,NA,464,237,NA,114,223,0.005,80,248,-0.012,156,198,0.031,NA,-21,185,222,49,38,178,-11,13
"43",4,11,-7,0.257,16.68,7.1,3,-5,NA,NA,NA,NA,552,268,NA,150,269,0.011,128,293,0.065,124,148,0.046,NA,226,44,24,27,23,-23,-11,9
"44",3,2,1,-0.00600000000000001,9.94,9.04,-3,-3,NA,NA,NA,NA,34,-117,NA,12,8,0.004,0,-57,0.038,10,56,-0.0449999999999999,NA,282,162,-128,79,69,-17,-5,22
"45",3,3,0,0.019,16.94,13.7,0,-2,NA,NA,NA,NA,345,237,NA,96,381,-0.042,44,148,-0.00900000000000001,109,126,0.035,NA,223,80,18,116,85,125,-13,18
"46",2,5,-3,0.117,8.68,9.42,5,-1,NA,NA,NA,NA,367,417,NA,152,269,0.012,12,72,-0.032,51,48,0.03,NA,67,48,16,-9,66,111,-11,4
